Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.69893241,45.74975686,47.41304375,48.21266939,49.91050943,50.76525836,52.61630512,53.9731853,53.2412028,53.07837014,55.61620234,59.43031627,61.46367169
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,74.16734362,74.86433049,74.48886486,73.1139198,72.73087889,75.20249221,76.21108306,76.45642082,75.62838244,72.38804112,72.03002541,72.03651521,71.93584872,73.11727297,73.03904649,74.10534185,75.24831564,75.46867964,74.9329662,75.14179137,75.46572261,75.84492809,75.68185747,77.42188752,77.53998962,77.0022888,76.71287995,76.0711489,75.42026602,71.57293348,71.16807315,70.93301123,71.48974249,73.65855189,75.05602914,72.6759065,74.13659174,73.9444622,73.0844247,71.15116374,70.28939869,67.9048534,68.43058216,67.83010007,68.44008193,68.40822822,69.06171408,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.54564211,61.3003573,61.95189945,62.6195048,62.58108899,62.46032034,62.50838896,63.46635768,63.63213631,64.35759006,64.36815086,64.16535435,63.95314404,64.27055888,64.24650701,64.3318544,63.67472501,64.28670469,64.42016939,64.02146434,65.64851317,64.55938738,65.09503991,66.17694603,65.61285236,67.15493808,68.12765922,66.89276337,66.56265184,66.01291314,66.25051787,65.72636591,63.28037801,63.57443955,65.54367766
Austria,AUT,,,,,,,,,,,,,,,,,48.98516872,49.93590957,49.92833211,51.09819202,51.01012633,51.62389294,52.87823352,53.44589241,53.65957986,54.02565949,54.47057137,55.04194744,55.19583819,55.52878054,55.57295162,55.9352224,56.8566006,57.92950732,57.72162918,58.4507297,58.26114835,58.12727965,58.44812468,58.31588341,58.89498131,59.18670039,59.90830223,60.11105132,59.96263592,60.14041342,60.2518374,59.92411731,60.43394575,61.55650476,61.63686838,61.66071424,61.35395906,61.58623945,61.84159221,62.163164,61.76435196,61.85595366,62.24303237,62.56140778,62.81236202,62.29993184,63.01023971,63.26306897,65.32283762
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75443383,34.24401198,28.82305346,35.90095541,38.04278089,37.94170025,30.84974017,35.81673685,43.34127768,39.0453233,35.78559166,34.47964482,32.45525773,31.92471839,31.79878549,25.08524656,23.50983133,21.7559634,23.65885014,31.3211522,28.21617803,27.71283745,29.5223012,31.49255784,34.18691465,40.65042295,39.3226667,38.12317132,35.28317435,36.97253352,42.35423633,37.70117335,32.07145933,39.76474964,42.31634438
Burundi,BDI,,,,,,,,,,,17.76016875,18.98507031,21.46521944,18.22739385,19.50789827,19.46387474,20.5786077,19.29394743,20.61095806,20.25212745,23.24253341,23.96089169,25.62901634,25.46156292,23.66054277,23.14991606,25.09070634,25.46715402,25.8545445,23.40064387,22.98713624,23.34849786,22.68145959,22.35135726,26.77037965,28.46097,28.12455169,32.57208285,33.49822589,35.71339482,32.1289977,34.99861277,35.50594768,33.8265616,33.97993703,34.01465267,35.70226735,39.91886758,38.32144077,37.83945218,36.95112487,37.99415081,38.84958902,36.02377566,39.12782297,49.37163596,47.67308455,49.33370562,49.11498323,47.82754,45.47971,44.80546,45.3736001,49.00853344,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79132744,62.5668554,62.06941944,62.6376149,63.41402416,63.05584289,64.16341542,64.6783107,65.31204459,65.24479339,65.87433266,66.14894903,66.05405,66.95736178,68.24940493,67.91679606,68.10839155,68.67399659,68.80133943,69.28846748,69.4272004,69.58788668,69.41802028,69.67669499,69.53533138,70.3395077,70.74871672,69.97543952,71.09119097,72.10145087
Benin,BEN,43.61530218,43.99291247,45.49941815,44.8122107,43.67841036,47.39872559,43.54556724,46.50592429,50.26311705,50.44027173,51.9683982,52.1614597,51.88085246,52.07995388,51.38207924,53.29700436,53.89345935,55.58792754,51.4524915,51.66376851,52.28564183,54.42494321,52.37638103,51.48538097,49.61898729,51.75202597,54.22109646,54.35448323,52.22523509,49.37509907,52.89166958,52.97359608,53.33041536,53.6634374,54.36794101,53.517529,51.02775862,50.69736208,50.85687892,33.49007192,35.31866315,37.59521955,35.78961069,37.20553213,36.89730754,38.01879158,39.23787431,41.00986958,43.8028111,44.09027851,44.54743973,46.97923755,48.8721212,49.4207609,49.52855165,49.2408969,48.20319961,48.40097922,48.80007884,48.02682134,47.89733209,45.88497317,46.89391497,47.72222641,48.87953999
Burkina Faso,BFA,38.26600701,38.47785657,38.65131321,36.88083268,36.64912939,41.15305816,40.7146337,42.17703329,43.33303671,43.15688091,44.54656487,40.78715677,40.91531698,39.79468329,41.70642413,40.39885722,38.74915255,43.90615173,42.77554544,47.02201352,48.46614256,48.4483111,50.48553509,49.86295392,49.42898335,43.21610469,45.03135823,45.94705325,45.31412948,45.85113303,47.59259737,46.35862274,46.40653949,46.27760426,39.39365713,39.53282371,37.47487217,38.3333247,37.98751931,43.95128396,47.74313235,46.39321659,46.59963429,44.91447627,46.4776364,44.54948913,47.13852823,48.17893413,45.0673521,45.88973089,42.12072485,40.56260688,40.31882105,41.55892704,42.49592913,44.05782674,43.80582668,43.95747244,43.55081264,45.31625215,44.95341625,45.35906612,42.67091437,43.63951751,40.2406405
